ID,Parent,Food Eaten,Energy,Score,Alive?
12,7,34,-1,3297,False
0,-1,93,197,16984,True
1,-1,98,185,18022,True
2,-1,70,107,11912,True
3,-1,76,197,13371,True
4,-1,77,173,13339,True
8,-1,56,89,7358,True
10,1,45,152,6199,True
11,3,47,110,6712,True
13,0,23,52,1476,True
15,0,7,61,1112,True
16,1,15,140,2490,True
17,2,10,127,1266,True
18,3,18,130,3071,True
19,4,16,173,2788,True
20,10,16,181,2548,True
21,3,7,152,1094,True
22,11,13,179,2366,True
23,0,6,136,1128,True
24,1,5,124,955,True
25,2,6,142,1094,True
26,8,4,138,692,True
27,11,1,81,198,True
28,15,2,119,273,True
29,16,4,121,722,True
30,18,5,164,815,True
31,22,3,131,438,True
