id,gene_stability,speed,agility,intelligence,endurance,strength,fertility,bite_size
11,4.0,7.0,3.0,4.0,4.0,4.0,5.0,1.0
22,2.0,8.0,2.0,1.0,3.0,3.0,7.0,4.0
28,5.25,6.0,2.625,6.0,1.0,5.625,1.75,1.75
13,4.0,5.0,3.0,3.0,5.0,1.0,5.0,6.0
30,4.625,5.0,3.0,3.0,3.125,1.625,3.75,6.625
31,4.625,3.375,1.75,4.75,7.625,2.75,5.625,4.25
8,2.0,4.0,4.0,6.0,4.0,4.0,5.0,2.0
32,2.167,4.0,3.167,4.0,6.833,3.333,4.667,3.833
40,4.525,4.275,1.65,2.9,4.275,0.9,4.275,5.9
9,4.0,1.0,6.0,2.0,4.0,7.0,7.0,3.0
38,6.317,0.9,7.4830000000000005,5.4830000000000005,1.4829999999999999,3.3169999999999997,2.3169999999999997,6.7330000000000005
21,4.0,6.0,2.0,6.0,1.0,5.0,3.0,3.0
23,5.0,4.0,1.0,4.0,3.0,2.0,4.0,5.0
34,3.375,5.0,3.0,1.75,4.375,1.0,5.625,5.375
18,3.0,4.0,4.0,4.0,6.0,5.0,3.0,3.0
10,4.0,2.0,5.0,4.0,5.0,6.0,4.0,4.0
46,4.625,2.125,3.0,6.625,7.625,3.375,5.0,4.25
12,7.0,3.0,3.0,2.0,6.0,2.0,3.0,4.0
0,5.0,2.0,6.0,2.0,3.0,2.0,7.0,3.0
35,2.0,2.75,4.0,4.75,1.5,5.25,8.75,3.25
47,3.375,1.375,6.25,4.625,5.625,5.375,4.625,3.375
51,5.25,7.25,2.625,6.0,1.0,5.0,1.125,3.625
14,4.0,3.0,4.0,7.0,4.0,3.0,3.0,5.0
25,4.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0
16,3.0,1.0,6.0,5.0,7.0,4.0,3.0,2.0
43,4.5,4.5,1.5,3.0,3.0,2.5,4.0,5.5
17,4.0,4.0,3.0,6.0,7.0,4.0,5.0,3.0
36,6.4,5.275,0.9,5.9,0.9,4.275,4.15,1.65
20,5.0,3.0,1.0,5.0,5.0,3.0,6.0,4.0
54,4.0,2.0,5.0,4.25,3.625,4.0,5.5,2.375
55,3.0,1.0,6.833,4.167,7.833,3.167,3.0,2.833
19,5.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0
57,3.5,4.0,4.5,5.0,3.5,5.5,5.0,2.5
39,4.625,4.25,3.375,7.0,4.625,2.375,3.0,3.75
24,4.0,2.0,5.0,3.0,3.0,4.0,8.0,3.0
60,5.0,3.5,3.5,6.0,4.0,4.0,4.5,2.5
64,6.747,1.747,2.976,7.324,2.824,2.976,5.976,2.553
15,6.0,1.0,8.0,6.0,2.0,3.0,2.0,6.0
27,5.0,4.5,1.0,3.0,3.5,1.0,3.5,5.0
73,4.756,2.641,4.9,4.775,3.641,5.381,5.909000000000001,0.9
29,5.067,0.9,7.9,5.4830000000000005,2.3169999999999997,2.9,1.9,7.15
33,5.9,0.9,3.4,6.9,2.4,3.4,6.4,3.4
45,3.375,2.0,5.0,4.875,3.0,4.0,6.75,3.0
77,4.800000000000001,5.300000000000001,0.8,2.8,3.3,1.2999999999999998,3.8,4.800000000000001
69,7.071000000000001,0.9,3.7239999999999998,6.376,2.3,2.876,6.300000000000001,3.7239999999999998
74,6.317,0.9,7.9,5.9,2.733,1.65,2.3169999999999997,4.65
26,5.0,2.0,4.0,7.0,2.0,3.0,7.0,4.0
44,4.0,1.5,5.0,7.0,2.0,2.5,7.0,4.0
